,GEOID,MEDIAN GROSS RENT (DOLLARS)_Estimate!!Median gross rent,YEAR
608,13121003900,775.0,2013.0
609,13121003900,904.0,2014.0
610,13121003900,863.0,2015.0
611,13121003900,930.0,2016.0
612,13121003900,908.0,2017.0
613,13121004100,823.0,2012.0
614,13121004100,827.0,2013.0
615,13121004100,853.0,2014.0
616,13121004100,848.0,2015.0
617,13121004100,899.0,2016.0
618,13121004100,1042.0,2017.0
619,13121004900,1105.0,2012.0
620,13121004900,906.0,2013.0
621,13121004900,771.0,2014.0
622,13121004900,751.0,2015.0
623,13121004900,872.0,2016.0
624,13121004900,1023.0,2017.0
625,13121004000,973.0,2012.0
626,13121004000,1042.0,2013.0
627,13121004000,1035.0,2014.0
628,13121004000,920.0,2015.0
629,13121004000,888.0,2016.0
630,13121004000,889.0,2017.0
631,13121004400,622.0,2012.0
632,13121004400,550.0,2013.0
633,13121004400,620.0,2014.0
634,13121004400,702.0,2015.0
635,13121004400,734.0,2016.0
636,13121004400,638.0,2017.0
637,13121005300,1223.0,2012.0
638,13121005300,1233.0,2013.0
639,13121005300,1510.0,2014.0
640,13121005300,1422.0,2015.0
641,13121005300,1370.0,2016.0
642,13121005300,1237.0,2017.0
643,13121008400,720.0,2012.0
644,13121008400,733.0,2013.0
645,13121008400,667.0,2014.0
646,13121008400,690.0,2015.0
647,13121008400,669.0,2016.0
648,13121008400,691.0,2017.0
649,13121008302,826.0,2012.0
650,13121008302,842.0,2013.0
651,13121008302,828.0,2014.0
652,13121008302,896.0,2015.0
653,13121008302,904.0,2016.0
654,13121008302,937.0,2017.0
655,13121005200,1079.0,2012.0
656,13121005200,1112.0,2013.0
657,13121005200,1218.0,2014.0
658,13121005200,1217.0,2015.0
659,13121005200,1333.0,2016.0
660,13121005200,1480.0,2017.0
661,13121008500,938.0,2012.0
662,13121008500,996.0,2013.0
663,13121008500,1013.0,2014.0
664,13121008500,1020.0,2015.0
665,13121008500,993.0,2016.0
666,13121008500,1010.0,2017.0
667,13121008202,737.0,2012.0
668,13121008202,837.0,2013.0
669,13121008202,887.0,2014.0
670,13121008202,890.0,2015.0
671,13121008202,930.0,2016.0
672,13121008202,936.0,2017.0
673,13121008601,793.0,2012.0
674,13121008601,828.0,2013.0
675,13121008601,808.0,2014.0
676,13121008601,694.0,2015.0
677,13121008601,648.0,2016.0
678,13121008601,649.0,2017.0
679,13121008301,810.0,2012.0
680,13121008301,879.0,2013.0
681,13121008301,940.0,2014.0
682,13121008301,902.0,2015.0
683,13121008301,889.0,2016.0
684,13121008301,845.0,2017.0
685,13121005501,843.0,2012.0
686,13121005501,843.0,2013.0
687,13121005501,877.0,2014.0
688,13121005501,887.0,2015.0
689,13121005501,922.0,2016.0
690,13121005501,891.0,2017.0
691,13121005700,642.0,2012.0
692,13121005700,678.0,2013.0
693,13121005700,639.0,2014.0
694,13121005700,677.0,2015.0
695,13121005700,753.0,2016.0
696,13121005700,800.0,2017.0
697,13121006400,738.0,2012.0
698,13121006400,752.0,2013.0
699,13121006400,653.0,2014.0
700,13121006400,665.0,2015.0
701,13121006400,691.0,2016.0
702,13121006400,734.0,2017.0
703,13121006300,775.0,2012.0
704,13121006300,919.0,2013.0
705,13121006300,975.0,2014.0
706,13121006300,987.0,2015.0
707,13121006300,928.0,2016.0
708,13121006300,910.0,2017.0
709,13121006100,1005.0,2012.0
710,13121006100,1009.0,2013.0
711,13121006100,1024.0,2014.0
712,13121006100,1059.0,2015.0
713,13121006100,1038.0,2016.0
714,13121006100,1040.0,2017.0
715,13121005502,448.0,2012.0
716,13121005502,612.0,2013.0
717,13121005502,596.0,2014.0
718,13121005502,719.0,2015.0
719,13121005502,704.0,2016.0
720,13121005502,771.0,2017.0
721,13121005800,1176.0,2012.0
722,13121005800,1318.0,2013.0
723,13121005800,1260.0,2014.0
724,13121005800,1179.0,2015.0
725,13121005800,1011.0,2016.0
726,13121005800,1105.0,2017.0
727,13121006500,1140.0,2012.0
728,13121006500,1130.0,2013.0
729,13121006500,1188.0,2014.0
730,13121006500,1216.0,2015.0
731,13121006500,1189.0,2016.0
732,13121006500,1201.0,2017.0
733,13121008602,825.0,2012.0
734,13121008602,881.0,2013.0
735,13121008602,931.0,2014.0
736,13121008602,895.0,2015.0
737,13121008602,938.0,2016.0
738,13121008602,971.0,2017.0
739,13121008800,811.0,2012.0
740,13121008800,892.0,2013.0
741,13121008800,1068.0,2014.0
742,13121008800,1409.0,2015.0
743,13121008800,1478.0,2016.0
744,13121008800,1513.0,2017.0
745,13121009200,1030.0,2012.0
746,13121009200,1046.0,2013.0
747,13121009200,1097.0,2014.0
748,13121009200,1097.0,2015.0
749,13121009200,1160.0,2016.0
750,13121009200,1216.0,2017.0
751,13121007500,619.0,2012.0
752,13121007500,642.0,2013.0
753,13121007500,674.0,2014.0
754,13121007500,649.0,2015.0
755,13121007500,655.0,2016.0
756,13121007500,680.0,2017.0
