,GEOID,TOTAL POPULATION_Estimate!!Total,YEAR
605,13121005000,2004.0,2016.0
606,13121005000,2013.0,2017.0
607,13121003900,1460.0,2012.0
608,13121003900,1393.0,2013.0
609,13121003900,1711.0,2014.0
610,13121003900,1940.0,2015.0
611,13121003900,2176.0,2016.0
612,13121003900,2522.0,2017.0
613,13121004100,1708.0,2012.0
614,13121004100,2014.0,2013.0
615,13121004100,1836.0,2014.0
616,13121004100,1906.0,2015.0
617,13121004100,2295.0,2016.0
618,13121004100,2127.0,2017.0
619,13121004900,2584.0,2012.0
620,13121004900,2757.0,2013.0
621,13121004900,2696.0,2014.0
622,13121004900,2891.0,2015.0
623,13121004900,2940.0,2016.0
624,13121004900,2565.0,2017.0
625,13121004000,2531.0,2012.0
626,13121004000,2559.0,2013.0
627,13121004000,2420.0,2014.0
628,13121004000,2408.0,2015.0
629,13121004000,2396.0,2016.0
630,13121004000,2522.0,2017.0
631,13121004400,1379.0,2012.0
632,13121004400,1829.0,2013.0
633,13121004400,2036.0,2014.0
634,13121004400,2509.0,2015.0
635,13121004400,2817.0,2016.0
636,13121004400,2516.0,2017.0
637,13121005300,3914.0,2012.0
638,13121005300,3833.0,2013.0
639,13121005300,3702.0,2014.0
640,13121005300,3703.0,2015.0
641,13121005300,3606.0,2016.0
642,13121005300,3619.0,2017.0
643,13121008400,3646.0,2012.0
644,13121008400,3490.0,2013.0
645,13121008400,3255.0,2014.0
646,13121008400,3318.0,2015.0
647,13121008400,2817.0,2016.0
648,13121008400,2785.0,2017.0
649,13121008302,2193.0,2012.0
650,13121008302,1998.0,2013.0
651,13121008302,1669.0,2014.0
652,13121008302,1941.0,2015.0
653,13121008302,1705.0,2016.0
654,13121008302,1653.0,2017.0
655,13121005200,4113.0,2012.0
656,13121005200,4360.0,2013.0
657,13121005200,4938.0,2014.0
658,13121005200,5181.0,2015.0
659,13121005200,5534.0,2016.0
660,13121005200,5661.0,2017.0
661,13121008500,4102.0,2012.0
662,13121008500,4386.0,2013.0
663,13121008500,3492.0,2014.0
664,13121008500,3035.0,2015.0
665,13121008500,2322.0,2016.0
666,13121008500,2546.0,2017.0
667,13121008202,2354.0,2012.0
668,13121008202,2157.0,2013.0
669,13121008202,2046.0,2014.0
670,13121008202,2048.0,2015.0
671,13121008202,2111.0,2016.0
672,13121008202,2090.0,2017.0
673,13121008601,4721.0,2012.0
674,13121008601,4980.0,2013.0
675,13121008601,4643.0,2014.0
676,13121008601,4426.0,2015.0
677,13121008601,4095.0,2016.0
678,13121008601,3943.0,2017.0
679,13121008301,2280.0,2012.0
680,13121008301,2523.0,2013.0
681,13121008301,2152.0,2014.0
682,13121008301,2295.0,2015.0
683,13121008301,2262.0,2016.0
684,13121008301,2556.0,2017.0
685,13121005501,2611.0,2012.0
686,13121005501,2588.0,2013.0
687,13121005501,2537.0,2014.0
688,13121005501,2533.0,2015.0
689,13121005501,2296.0,2016.0
690,13121005501,2298.0,2017.0
691,13121005700,1357.0,2012.0
692,13121005700,1462.0,2013.0
693,13121005700,1768.0,2014.0
694,13121005700,1655.0,2015.0
695,13121005700,1707.0,2016.0
696,13121005700,1708.0,2017.0
697,13121006400,1084.0,2012.0
698,13121006400,967.0,2013.0
699,13121006400,1082.0,2014.0
700,13121006400,1175.0,2015.0
701,13121006400,1159.0,2016.0
702,13121006400,1075.0,2017.0
703,13121006300,1559.0,2012.0
704,13121006300,1888.0,2013.0
705,13121006300,1630.0,2014.0
706,13121006300,1650.0,2015.0
707,13121006300,1705.0,2016.0
708,13121006300,1384.0,2017.0
709,13121006100,3641.0,2012.0
710,13121006100,3584.0,2013.0
711,13121006100,3614.0,2014.0
712,13121006100,3672.0,2015.0
713,13121006100,3876.0,2016.0
714,13121006100,3758.0,2017.0
715,13121005502,2461.0,2012.0
716,13121005502,2366.0,2013.0
717,13121005502,2645.0,2014.0
718,13121005502,2422.0,2015.0
719,13121005502,2157.0,2016.0
720,13121005502,2523.0,2017.0
721,13121005800,1347.0,2012.0
722,13121005800,1554.0,2013.0
723,13121005800,1754.0,2014.0
724,13121005800,2023.0,2015.0
725,13121005800,2048.0,2016.0
726,13121005800,1924.0,2017.0
727,13121006500,4009.0,2012.0
728,13121006500,3919.0,2013.0
729,13121006500,4030.0,2014.0
730,13121006500,4283.0,2015.0
731,13121006500,4611.0,2016.0
732,13121006500,4726.0,2017.0
733,13121008602,1717.0,2012.0
734,13121008602,1327.0,2013.0
735,13121008602,1172.0,2014.0
736,13121008602,1063.0,2015.0
737,13121008602,1070.0,2016.0
738,13121008602,1348.0,2017.0
739,13121008800,5452.0,2012.0
740,13121008800,5405.0,2013.0
741,13121008800,5148.0,2014.0
742,13121008800,4569.0,2015.0
743,13121008800,4859.0,2016.0
744,13121008800,4665.0,2017.0
745,13121009200,5469.0,2012.0
746,13121009200,5811.0,2013.0
747,13121009200,6577.0,2014.0
748,13121009200,7083.0,2015.0
749,13121009200,6727.0,2016.0
750,13121009200,6800.0,2017.0
751,13121007500,3531.0,2012.0
752,13121007500,3580.0,2013.0
753,13121007500,3435.0,2014.0
754,13121007500,3259.0,2015.0
755,13121007500,3005.0,2016.0
756,13121007500,3280.0,2017.0
757,13121008101,1201.0,2012.0
758,13121008101,1243.0,2013.0
759,13121008101,1165.0,2014.0
760,13121008101,1138.0,2015.0
761,13121008101,1219.0,2016.0
762,13121008101,1301.0,2017.0
763,13121006000,3224.0,2012.0
764,13121006000,3292.0,2013.0
765,13121006000,3083.0,2014.0
766,13121006000,3260.0,2015.0
767,13121006000,3401.0,2016.0
768,13121006000,3643.0,2017.0
