,GEOID,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars),YEAR
471,13121007001,25441.0,2014.0
472,13121007001,21587.0,2015.0
473,13121007001,19939.0,2016.0
474,13121007001,26436.0,2017.0
475,13121007602,37780.0,2012.0
476,13121007602,32893.0,2013.0
477,13121007602,35446.0,2014.0
478,13121007602,31108.0,2015.0
479,13121007602,31951.0,2016.0
480,13121007602,34136.0,2017.0
481,13121007802,54602.0,2012.0
482,13121007802,46116.0,2013.0
483,13121007802,46056.0,2014.0
484,13121007802,48877.0,2015.0
485,13121007802,46917.0,2016.0
486,13121007802,44932.0,2017.0
487,13121002300,16034.0,2012.0
488,13121002300,19840.0,2013.0
489,13121002300,21486.0,2014.0
490,13121002300,23088.0,2015.0
491,13121002300,26793.0,2016.0
492,13121002300,27674.0,2017.0
493,13121002100,27447.0,2012.0
494,13121002100,35250.0,2013.0
495,13121002100,32279.0,2014.0
496,13121002100,37627.0,2015.0
497,13121002100,38068.0,2016.0
498,13121002100,51250.0,2017.0
499,13121007806,34706.0,2012.0
500,13121007806,31886.0,2013.0
501,13121007806,31552.0,2014.0
502,13121007806,28333.0,2015.0
503,13121007806,27174.0,2016.0
504,13121007806,31192.0,2017.0
505,13121007805,32159.0,2012.0
506,13121007805,37857.0,2013.0
507,13121007805,32401.0,2014.0
508,13121007805,31797.0,2015.0
509,13121007805,29253.0,2016.0
510,13121007805,33255.0,2017.0
511,13121002800,17426.0,2012.0
512,13121002800,15172.0,2013.0
513,13121002800,20915.0,2014.0
514,13121002800,21938.0,2015.0
515,13121002800,21851.0,2016.0
516,13121002800,26059.0,2017.0
517,13121002600,30991.0,2012.0
518,13121002600,30458.0,2013.0
519,13121002600,30118.0,2014.0
520,13121002600,30046.0,2015.0
521,13121002600,23598.0,2016.0
522,13121002600,26350.0,2017.0
523,13121003000,86394.0,2012.0
524,13121003000,71875.0,2013.0
525,13121003000,86103.0,2014.0
526,13121003000,83576.0,2015.0
527,13121003000,89029.0,2016.0
528,13121003000,94079.0,2017.0
529,13121002400,24814.0,2012.0
530,13121002400,30500.0,2013.0
531,13121002400,29451.0,2014.0
532,13121002400,31271.0,2015.0
533,13121002400,30000.0,2016.0
534,13121002400,30972.0,2017.0
535,13121003200,51020.0,2012.0
536,13121003200,48699.0,2013.0
537,13121003200,52770.0,2014.0
538,13121003200,65168.0,2015.0
539,13121003200,70000.0,2016.0
540,13121003200,84350.0,2017.0
541,13121003100,45265.0,2012.0
542,13121003100,47941.0,2013.0
543,13121003100,47843.0,2014.0
544,13121003100,45000.0,2015.0
545,13121003100,43170.0,2016.0
546,13121003100,46467.0,2017.0
547,13121003500,54012.0,2012.0
548,13121003500,56190.0,2013.0
549,13121003500,53953.0,2014.0
550,13121003500,50850.0,2015.0
551,13121003500,53781.0,2016.0
552,13121003500,55585.0,2017.0
553,13121003800,21464.0,2012.0
554,13121003800,21932.0,2013.0
555,13121003800,21071.0,2014.0
556,13121003800,19904.0,2015.0
557,13121003800,22000.0,2016.0
558,13121003800,22150.0,2017.0
559,13121007808,13455.0,2012.0
560,13121007808,11438.0,2013.0
561,13121007808,11440.0,2014.0
562,13121007808,11766.0,2015.0
563,13121007808,11715.0,2016.0
564,13121007808,12266.0,2017.0
565,13121008000,41140.0,2012.0
566,13121008000,40517.0,2013.0
567,13121008000,38056.0,2014.0
568,13121008000,39531.0,2015.0
569,13121008000,40685.0,2016.0
570,13121008000,41450.0,2017.0
571,13121007807,17002.0,2012.0
572,13121007807,17466.0,2013.0
573,13121007807,17324.0,2014.0
574,13121007807,20775.0,2015.0
575,13121007807,18841.0,2016.0
576,13121007807,21912.0,2017.0
577,13121007900,59724.0,2012.0
578,13121007900,57784.0,2013.0
579,13121007900,58750.0,2014.0
580,13121007900,52181.0,2015.0
581,13121007900,56085.0,2016.0
582,13121007900,54467.0,2017.0
583,13121008201,29575.0,2012.0
584,13121008201,27490.0,2013.0
585,13121008201,27001.0,2014.0
586,13121008201,26705.0,2015.0
587,13121008201,28745.0,2016.0
588,13121008201,31037.0,2017.0
589,13121008102,21075.0,2012.0
590,13121008102,23577.0,2013.0
591,13121008102,23032.0,2014.0
592,13121008102,21192.0,2015.0
593,13121008102,22673.0,2016.0
594,13121008102,24940.0,2017.0
595,13121004800,11222.0,2012.0
596,13121004800,10785.0,2013.0
597,13121004800,11199.0,2014.0
598,13121004800,18365.0,2015.0
599,13121004800,17500.0,2016.0
600,13121004800,16413.0,2017.0
601,13121005000,54081.0,2012.0
602,13121005000,57670.0,2013.0
603,13121005000,61806.0,2014.0
604,13121005000,72500.0,2015.0
605,13121005000,61607.0,2016.0
606,13121005000,79250.0,2017.0
607,13121003900,17315.0,2012.0
608,13121003900,19808.0,2013.0
609,13121003900,21875.0,2014.0
610,13121003900,25729.0,2015.0
611,13121003900,29403.0,2016.0
612,13121003900,36174.0,2017.0
613,13121004100,24621.0,2012.0
614,13121004100,22372.0,2013.0
615,13121004100,24554.0,2014.0
616,13121004100,26278.0,2015.0
617,13121004100,30956.0,2016.0
618,13121004100,38519.0,2017.0
619,13121004900,59875.0,2012.0
620,13121004900,58485.0,2013.0
621,13121004900,58887.0,2014.0
622,13121004900,62683.0,2015.0
623,13121004900,66786.0,2016.0
624,13121004900,77875.0,2017.0
625,13121004000,26833.0,2012.0
626,13121004000,26875.0,2013.0
627,13121004000,25388.0,2014.0
628,13121004000,32813.0,2015.0
629,13121004000,27167.0,2016.0
630,13121004000,28191.0,2017.0
631,13121004400,18638.0,2012.0
632,13121004400,18778.0,2013.0
633,13121004400,18359.0,2014.0
634,13121004400,18750.0,2015.0
635,13121004400,19754.0,2016.0
636,13121004400,18030.0,2017.0
637,13121005300,91734.0,2012.0
638,13121005300,91250.0,2013.0
639,13121005300,91216.0,2014.0
640,13121005300,92500.0,2015.0
641,13121005300,95259.0,2016.0
642,13121005300,93456.0,2017.0
643,13121008400,17160.0,2012.0
644,13121008400,20458.0,2013.0
645,13121008400,19250.0,2014.0
646,13121008400,21525.0,2015.0
647,13121008400,20625.0,2016.0
648,13121008400,21708.0,2017.0
649,13121008302,22292.0,2012.0
650,13121008302,28542.0,2013.0
651,13121008302,27381.0,2014.0
652,13121008302,28500.0,2015.0
653,13121008302,27869.0,2016.0
654,13121008302,28949.0,2017.0
655,13121005200,75424.0,2012.0
656,13121005200,78438.0,2013.0
657,13121005200,83542.0,2014.0
658,13121005200,76903.0,2015.0
659,13121005200,88591.0,2016.0
660,13121005200,93580.0,2017.0
661,13121008500,25156.0,2012.0
662,13121008500,27880.0,2013.0
663,13121008500,27740.0,2014.0
664,13121008500,27383.0,2015.0
665,13121008500,28556.0,2016.0
666,13121008500,28364.0,2017.0
667,13121008202,20296.0,2012.0
668,13121008202,26736.0,2013.0
669,13121008202,25757.0,2014.0
670,13121008202,27346.0,2015.0
671,13121008202,28355.0,2016.0
672,13121008202,27454.0,2017.0
673,13121008601,19781.0,2012.0
674,13121008601,20236.0,2013.0
675,13121008601,20440.0,2014.0
676,13121008601,21106.0,2015.0
677,13121008601,20777.0,2016.0
678,13121008601,21846.0,2017.0
679,13121008301,25404.0,2012.0
680,13121008301,24286.0,2013.0
681,13121008301,29926.0,2014.0
682,13121008301,27432.0,2015.0
683,13121008301,31977.0,2016.0
