,GEOID,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Married-couple family,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder living alone,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder not living alone,YEAR
152,13121003700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0
153,13121003700,30.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,2014.0
154,13121003700,54.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0.0,2015.0
155,13121003700,95.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,0.0,2016.0
156,13121003700,110.0,0.0,0.0,0.0,0.0,0.0,110.0,96.0,14.0,2017.0
157,13121010211,1336.0,907.0,708.0,199.0,17.0,182.0,429.0,318.0,111.0,2012.0
158,13121010211,1278.0,907.0,737.0,170.0,18.0,152.0,371.0,265.0,106.0,2013.0
159,13121010211,1199.0,848.0,711.0,137.0,19.0,118.0,351.0,238.0,113.0,2014.0
160,13121010211,1126.0,798.0,676.0,122.0,16.0,106.0,328.0,234.0,94.0,2015.0
161,13121010211,1017.0,780.0,714.0,66.0,20.0,46.0,237.0,187.0,50.0,2016.0
162,13121010211,997.0,743.0,695.0,48.0,16.0,32.0,254.0,192.0,62.0,2017.0
163,13121012000,1186.0,484.0,123.0,361.0,81.0,280.0,702.0,596.0,106.0,2012.0
164,13121012000,1162.0,384.0,120.0,264.0,38.0,226.0,778.0,676.0,102.0,2013.0
165,13121012000,1184.0,394.0,98.0,296.0,60.0,236.0,790.0,686.0,104.0,2014.0
166,13121012000,1199.0,387.0,142.0,245.0,31.0,214.0,812.0,725.0,87.0,2015.0
167,13121012000,1213.0,366.0,132.0,234.0,62.0,172.0,847.0,755.0,92.0,2016.0
168,13121012000,1259.0,338.0,146.0,192.0,71.0,121.0,921.0,803.0,118.0,2017.0
169,13121009000,1673.0,981.0,884.0,97.0,11.0,86.0,692.0,432.0,260.0,2012.0
170,13121009000,1700.0,962.0,886.0,76.0,8.0,68.0,738.0,488.0,250.0,2013.0
171,13121009000,1842.0,1055.0,941.0,114.0,19.0,95.0,787.0,518.0,269.0,2014.0
172,13121009000,1932.0,1118.0,1005.0,113.0,18.0,95.0,814.0,583.0,231.0,2015.0
173,13121009000,2004.0,1167.0,1056.0,111.0,17.0,94.0,837.0,591.0,246.0,2016.0
174,13121009000,2092.0,1156.0,1070.0,86.0,17.0,69.0,936.0,635.0,301.0,2017.0
175,13121007002,853.0,587.0,239.0,348.0,39.0,309.0,266.0,255.0,11.0,2012.0
176,13121007002,831.0,552.0,209.0,343.0,27.0,316.0,279.0,279.0,0.0,2013.0
177,13121007002,841.0,528.0,161.0,367.0,28.0,339.0,313.0,313.0,0.0,2014.0
178,13121007002,815.0,420.0,90.0,330.0,30.0,300.0,395.0,364.0,31.0,2015.0
179,13121007002,847.0,455.0,125.0,330.0,35.0,295.0,392.0,347.0,45.0,2016.0
180,13121007002,988.0,516.0,132.0,384.0,31.0,353.0,472.0,402.0,70.0,2017.0
181,13121009900,1948.0,1047.0,992.0,55.0,39.0,16.0,901.0,720.0,181.0,2012.0
182,13121009900,2011.0,1056.0,995.0,61.0,16.0,45.0,955.0,828.0,127.0,2013.0
183,13121009900,1972.0,938.0,914.0,24.0,0.0,24.0,1034.0,923.0,111.0,2014.0
184,13121009900,2148.0,1072.0,1045.0,27.0,0.0,27.0,1076.0,973.0,103.0,2015.0
185,13121009900,2106.0,1113.0,1080.0,33.0,0.0,33.0,993.0,884.0,109.0,2016.0
186,13121009900,2158.0,1171.0,1111.0,60.0,17.0,43.0,987.0,884.0,103.0,2017.0
187,13121010303,3260.0,2231.0,1421.0,810.0,114.0,696.0,1029.0,832.0,197.0,2012.0
188,13121010303,3352.0,2191.0,1287.0,904.0,119.0,785.0,1161.0,947.0,214.0,2013.0
189,13121010303,3542.0,2188.0,1387.0,801.0,122.0,679.0,1354.0,1109.0,245.0,2014.0
190,13121010303,3462.0,2001.0,1176.0,825.0,114.0,711.0,1461.0,1219.0,242.0,2015.0
191,13121010303,3709.0,2082.0,1250.0,832.0,97.0,735.0,1627.0,1288.0,339.0,2016.0
192,13121010303,3974.0,2319.0,1395.0,924.0,180.0,744.0,1655.0,1555.0,100.0,2017.0
193,13121001700,1343.0,460.0,129.0,331.0,41.0,290.0,883.0,644.0,239.0,2012.0
194,13121001700,1629.0,600.0,144.0,456.0,68.0,388.0,1029.0,791.0,238.0,2013.0
195,13121001700,1721.0,542.0,136.0,406.0,91.0,315.0,1179.0,963.0,216.0,2014.0
196,13121001700,1908.0,597.0,185.0,412.0,78.0,334.0,1311.0,1040.0,271.0,2015.0
197,13121001700,2119.0,700.0,295.0,405.0,86.0,319.0,1419.0,1108.0,311.0,2016.0
198,13121001700,2260.0,782.0,369.0,413.0,82.0,331.0,1478.0,1102.0,376.0,2017.0
199,13121000600,2049.0,395.0,267.0,128.0,10.0,118.0,1654.0,900.0,754.0,2012.0
200,13121000600,2109.0,341.0,264.0,77.0,14.0,63.0,1768.0,1054.0,714.0,2013.0
201,13121000600,2179.0,347.0,256.0,91.0,16.0,75.0,1832.0,967.0,865.0,2014.0
202,13121000600,2132.0,230.0,156.0,74.0,22.0,52.0,1902.0,1174.0,728.0,2015.0
203,13121000600,2106.0,223.0,161.0,62.0,29.0,33.0,1883.0,1230.0,653.0,2016.0
204,13121000600,2383.0,315.0,239.0,76.0,35.0,41.0,2068.0,1413.0,655.0,2017.0
205,13121000200,2711.0,1105.0,923.0,182.0,43.0,139.0,1606.0,1077.0,529.0,2012.0
206,13121000200,2779.0,1287.0,1045.0,242.0,69.0,173.0,1492.0,1015.0,477.0,2013.0
207,13121000200,2754.0,1188.0,1026.0,162.0,51.0,111.0,1566.0,1104.0,462.0,2014.0
208,13121000200,2925.0,1203.0,1098.0,105.0,33.0,72.0,1722.0,1226.0,496.0,2015.0
209,13121000200,2897.0,1267.0,1124.0,143.0,65.0,78.0,1630.0,1159.0,471.0,2016.0
210,13121000200,2777.0,1271.0,1112.0,159.0,69.0,90.0,1506.0,1047.0,459.0,2017.0
211,13121000400,998.0,336.0,309.0,27.0,15.0,12.0,662.0,562.0,100.0,2012.0
212,13121000400,948.0,324.0,290.0,34.0,16.0,18.0,624.0,524.0,100.0,2013.0
213,13121000400,874.0,326.0,294.0,32.0,12.0,20.0,548.0,463.0,85.0,2014.0
214,13121000400,813.0,276.0,247.0,29.0,13.0,16.0,537.0,435.0,102.0,2015.0
215,13121000400,865.0,322.0,287.0,35.0,13.0,22.0,543.0,455.0,88.0,2016.0
216,13121000400,934.0,327.0,283.0,44.0,23.0,21.0,607.0,525.0,82.0,2017.0
217,13121000100,1848.0,1027.0,898.0,129.0,49.0,80.0,821.0,674.0,147.0,2012.0
218,13121000100,1877.0,1043.0,883.0,160.0,48.0,112.0,834.0,678.0,156.0,2013.0
219,13121000100,1807.0,1080.0,935.0,145.0,31.0,114.0,727.0,588.0,139.0,2014.0
220,13121000100,1847.0,1156.0,992.0,164.0,49.0,115.0,691.0,509.0,182.0,2015.0
221,13121000100,1856.0,1225.0,1071.0,154.0,56.0,98.0,631.0,501.0,130.0,2016.0
222,13121000100,1969.0,1267.0,1132.0,135.0,61.0,74.0,702.0,498.0,204.0,2017.0
223,13121010206,1905.0,1444.0,1348.0,96.0,32.0,64.0,461.0,352.0,109.0,2012.0
224,13121010206,1979.0,1458.0,1368.0,90.0,32.0,58.0,521.0,428.0,93.0,2013.0
225,13121010206,2014.0,1500.0,1427.0,73.0,9.0,64.0,514.0,449.0,65.0,2014.0
226,13121010206,2116.0,1517.0,1422.0,95.0,10.0,85.0,599.0,517.0,82.0,2015.0
227,13121010206,2228.0,1577.0,1464.0,113.0,39.0,74.0,651.0,556.0,95.0,2016.0
228,13121010206,2328.0,1694.0,1558.0,136.0,43.0,93.0,634.0,574.0,60.0,2017.0
229,13121006602,410.0,173.0,30.0,143.0,23.0,120.0,237.0,197.0,40.0,2012.0
230,13121006602,367.0,212.0,35.0,177.0,16.0,161.0,155.0,139.0,16.0,2013.0
231,13121006602,401.0,240.0,44.0,196.0,26.0,170.0,161.0,150.0,11.0,2014.0
232,13121006602,421.0,276.0,67.0,209.0,34.0,175.0,145.0,134.0,11.0,2015.0
233,13121006602,436.0,260.0,61.0,199.0,31.0,168.0,176.0,157.0,19.0,2016.0
234,13121006602,441.0,206.0,41.0,165.0,24.0,141.0,235.0,200.0,35.0,2017.0
235,13121002900,1085.0,207.0,145.0,62.0,12.0,50.0,878.0,561.0,317.0,2012.0
236,13121002900,1179.0,222.0,184.0,38.0,20.0,18.0,957.0,659.0,298.0,2013.0
237,13121002900,1340.0,246.0,177.0,69.0,51.0,18.0,1094.0,746.0,348.0,2014.0
238,13121002900,1323.0,239.0,173.0,66.0,43.0,23.0,1084.0,735.0,349.0,2015.0
239,13121002900,1247.0,288.0,205.0,83.0,43.0,40.0,959.0,728.0,231.0,2016.0
240,13121002900,1266.0,294.0,209.0,85.0,38.0,47.0,972.0,724.0,248.0,2017.0
241,13121007705,1981.0,906.0,234.0,672.0,58.0,614.0,1075.0,1046.0,29.0,2012.0
